chain_0_len,chain_1_len,chain_2_len,chain_3_len,chain_4_len,chain_5_len,chain_6_len,chain_7_len,fingure_0_len,fingure_0_width,fingure_1_len,fingure_1_width,fingure_2_len,fingure_2_width,fingure_3_len,fingure_3_width,fingure_4_len,fingure_4_width,img,median_skin_color,palm_circle_radius,texture_contrast_00,texture_contrast_90,texture_correlation_00,texture_correlation_90,texture_dissimilarity_00,texture_dissimilarity_90,texture_energy_00,texture_energy_90
137.931152344,175.641677856,172.699142456,185.388763428,191.606369019,175.960220337,276.260742188,139.978561401,146.907498951,35.8145434762,183.686023093,38.0543511707,200.376914351,40.7772957063,190.083759357,40.5656995743,152.267148315,46.6022950871,../training/021.tif,148.0,96.9689941406,1319.10041921,1383.96754992,0.556557802804,0.532575772131,24.210683435,24.4939196109,0.0704202573659,0.0714664849406
137.277099609,203.796478271,183.5756073,204.009811401,204.533615112,185.58555603,284.54876709,141.675674438,153.58749729,43.4503660795,204.559200191,49.9177693325,213.615654159,54.8515118999,195.844905156,57.162562168,138.352514607,62.364225448,../training/022.tif,153.0,109.451171875,1426.50577998,1131.09760625,0.444644956219,0.566200909359,22.2665777439,19.8657834101,0.0896824290096,0.0911540689942
141.354171753,203.376495361,188.366668701,206.196517944,210.774780273,191.002655029,285.506591797,144.810211182,156.776709006,43.9818994855,206.784809547,50.1217371242,215.918231993,54.7780344765,199.477988211,57.9808306173,142.232318539,61.5622183243,../training/023.tif,155.0,112.844970703,1250.36509146,1109.95794931,0.629378833983,0.675352425568,19.5443343496,18.2532642089,0.0852387974734,0.0873752618113
141.992950439,174.633895874,170.581344604,190.023666382,195.760040283,168.433944702,271.184417725,133.296676636,152.570680281,41.3967669764,183.886516502,43.336677181,205.194151867,48.0687212379,185.652241067,47.9843871867,142.196134142,53.888923487,../training/024.tif,166.0,105.269775391,1820.95744411,1753.59831029,0.377135338523,0.383266209575,29.7083333333,29.2558883769,0.0922211368256,0.0922730653978
145.013793945,204.79258728,191.65071106,209.153045654,200.444503784,179.047470093,287.313415527,151.34727478,163.384297349,41.8811898806,211.860962107,41.2726721176,218.0327941,43.8646179345,195.241702867,44.1493835363,162.167534735,45.8544943619,../training/026.tif,134.0,105.451171875,1858.67143039,1635.25096006,0.495091494307,0.560302078658,29.0494791667,26.8924091142,0.0617713509078,0.0620832805426
152.816894531,200.412094116,202.039611816,203.354370117,209.389572144,163.076660156,292.605529785,152.816879272,168.05963775,41.9205032964,217.238341161,41.75721977,219.095690111,43.3840768055,187.961816254,43.5892019268,151.78651938,49.9121494174,../training/027.tif,133.0,107.482177734,1842.2234502,1830.38940092,0.441533445348,0.461412532112,29.4067581301,28.9650537634,0.0579684794293,0.0575902619903
149.305038452,201.248596191,192.234237671,207.171432495,197.94190979,176.119293213,281.712646484,141.823852539,166.407961997,42.5075873395,209.624389874,41.2682715829,211.874014636,46.0410432199,192.592590446,48.1363912465,149.034545812,45.8600422063,../training/028.tif,141.0,105.710083008,1607.20433181,1568.5187532,0.605974807509,0.618478293982,26.038808435,25.251984127,0.0603821695988,0.0618161952835
153.101242065,200.112442017,200.024993896,205.009750366,203.494476318,169.319213867,291.760162354,150.336303711,168.822378022,40.9481269947,216.534689005,39.9310367544,216.671168382,44.8285567793,187.660359616,47.649740946,157.580463101,45.9587978457,../training/029.tif,136.0,107.513183594,1923.59228913,1848.10637481,0.542018880102,0.567546903053,29.4589049797,28.1806195597,0.0568354484113,0.0574756071693
147.871566772,184.62121582,181.945053101,193.395950317,189.952606201,170.496322632,255.070571899,116.777534485,155.05674293,43.0040015877,192.126708007,47.4770249065,198.471896354,47.8157806336,187.419677238,49.589601243,123.595478401,56.6820886086,../training/031.tif,156.0,100.260467529,1879.49466463,1836.48060676,0.438208610919,0.45781406523,28.559070122,28.3592549923,0.0949402699079,0.0951084180143
149.773178101,191.971359253,189.994735718,203.226470947,202.543823242,181.53237915,269.01675415,121.605926514,156.007731893,42.661424991,202.425543656,44.5530896809,210.26852836,47.8674163821,196.988819015,49.3227343176,133.221498173,51.7211737182,../training/034.tif,154.0,102.457366943,2411.42085874,2132.49033538,0.367811326095,0.427152789324,33.8485772358,31.9678059396,0.07780877975,0.0781364985073
132.382019043,194.002563477,184.358352661,200.808349609,205.664764404,180.360733032,287.445648193,149.966659546,149.276491909,41.8920492078,201.139212101,44.557128039,213.370996186,47.7506340973,199.413525252,48.0030876694,125.612753597,55.819093675,../training/035.tif,156.0,105.741088867,1621.18705539,1670.77259345,0.40919966285,0.390915231468,27.9497586382,27.8258448541,0.0747432837238,0.0742734789798
137.480911255,194.126251221,189.465042114,198.0025177,205.975708008,166.676315308,296.082733154,139.717544556,154.379151405,41.9321132105,205.558629266,44.3706698624,216.39764475,45.2632858071,191.903130711,46.4861552517,126.288883726,55.545042697,../training/036.tif,137.0,106.254272461,1475.99447409,1493.94361239,0.393386188337,0.421177357305,25.2938897358,25.2048771121,0.0869839355894,0.0857235895085
113.070785522,175.07144165,158.145507812,182.13458252,185.064849854,167.839187622,229.078582764,138.293167114,130.144714323,35.4022534822,178.351964405,38.2184831883,193.98687564,41.2092388772,182.959860978,43.7204251702,141.946372437,48.3579547613,../training/037.tif,163.0,93.6697692871,1774.2741997,1739.5125448,0.55568054999,0.562274861753,27.8337779472,27.3344854071,0.078624305033,0.0791156391794
113.951728821,176.739898682,157.012710571,182.53767395,176.785202026,169.779296875,211.000015259,146.996566772,131.226719949,34.2353869419,178.891420105,36.7572469442,193.075930803,41.555925705,179.724816217,44.1169250722,152.873908028,47.6919650522,../training/039.tif,160.0,94.5748596191,1248.11890244,1219.64298515,0.642630981934,0.649492626606,21.6957571138,21.3008192524,0.0875638281739,0.0877032345939
120.569496155,166.433181763,144.222061157,168.0,166.865219116,147.339736938,260.249847412,125.801437378,138.821997914,37.4857843848,166.322037182,38.5798881601,179.604082923,41.1270988623,169.631171901,41.5278929453,139.225877659,44.9592620259,../training/041.tif,159.0,90.6759643555,1858.47002033,1822.85304659,0.439162595019,0.448007159999,28.4451219512,28.2791858679,0.0770836222334,0.0761542916269
133.124023438,179.100524902,165.520355225,193.507110596,195.164047241,173.303207397,269.47543335,137.905776978,151.63574314,41.0038345408,186.408758606,41.265842159,206.888530564,45.7365733995,190.590374943,46.6426243011,146.136053601,53.5291258407,../training/046.tif,148.0,100.30078125,2050.78995173,2078.86386329,0.388585076599,0.375345817252,31.7678480691,32.0900537634,0.0626629836135,0.0625269083724
129.251708984,156.847076416,150.711639404,166.595306396,171.020462036,153.600143433,232.361785889,120.668945312,129.319426567,34.4848520632,164.260311721,37.3695298547,176.620322286,40.6885529469,169.102779186,42.8310406788,107.808472705,45.8224063828,../training/047.tif,147.0,85.0,1125.72764228,1039.51772913,0.585769303775,0.607016309551,21.103277439,20.2930747568,0.0730154427937,0.073267443419
127.027549744,155.540985107,148.222808838,159.254516602,167.720016479,141.056747437,239.641403198,109.658561707,134.372417751,30.5331097817,162.243521444,36.2512724271,171.694561104,40.1159448861,161.189854658,41.2904738155,119.164932244,43.411827207,../training/049.tif,153.0,88.7410888672,2120.09114583,2116.20686124,0.405562518255,0.406109459575,33.0132748984,32.5404505888,0.0692676050293,0.0701005138239
126.269554138,156.894851685,145.261810303,164.076187134,164.975738525,154.353469849,216.68409729,134.372589111,133.473709446,35.8570792783,159.692119314,36.7572312041,176.236699564,35.0983185867,175.473537117,38.1061318216,122.51548169,43.2155999364,../training/050.tif,157.0,87.6821594238,2387.98107215,2323.75499232,0.490699535335,0.507716385436,32.9137449187,31.7482078853,0.0664661928055,0.0669105354947
125.733856201,178.404037476,166.027114868,188.02394104,185.067565918,162.015426636,258.862884521,148.033798218,142.745895085,40.3831753069,186.013958081,41.4141267973,200.111927733,42.7612063563,181.492087827,43.4129253744,151.347351798,49.7946823509,../training/051.tif,147.0,100.0,1587.62201474,1557.06963646,0.574802181299,0.585726851373,25.2613694106,25.115719406,0.0709060691514,0.0703410841746
127.440177917,178.227371216,163.174743652,186.010742188,183.635513306,160.801116943,238.838867188,157.851196289,143.581054202,39.0138764628,185.310290036,41.0416736319,198.290204438,42.6711880458,179.588125014,42.4745359155,149.664626196,45.129607095,../training/052.tif,148.0,98.3655700684,1537.90370935,1483.74001536,0.539089116249,0.56092024281,24.5851117886,23.883640553,0.0704501129963,0.070834623293
130.831954956,175.345352173,169.944091797,190.465209961,186.21762085,166.018051147,255.634506226,162.027786255,140.611833611,40.544191257,184.842601674,42.5834725093,200.481828653,44.084719821,182.531774251,45.2782197201,143.633670644,51.2579148236,../training/053.tif,150.0,100.0,1536.54014228,1614.83166923,0.578721693589,0.557716894962,26.0384908537,26.5940860215,0.0684185408698,0.067377802515
130.483718872,176.22996521,168.549713135,189.391143799,185.194503784,161.98765564,246.032501221,163.11038208,143.306009189,40.5760652614,185.432968878,41.6854792482,199.014822901,43.6536353171,179.054644679,43.4219280862,144.51402325,46.5560511287,../training/054.tif,149.0,98.1658935547,1915.10130843,1869.55043523,0.419183663315,0.436952208892,29.6171875,29.1967485919,0.0701552404514,0.069962640192
127.612693787,175.139953613,166.027114868,186.868942261,184.621231079,159.702835083,239.052276611,168.297363281,143.591096149,39.6950619768,183.954833742,41.6200651628,197.259609558,44.121514082,179.487829914,42.7546385034,148.734958007,46.9019786004,../training/055.tif,149.0,96.6635742188,1431.57494919,1460.00883257,0.487990429259,0.480370047812,24.8109756098,24.6461853559,0.0687349243847,0.0685815763315
135.948532104,175.385299683,166.769317627,190.094726562,192.782272339,174.568054199,257.001953125,147.383850098,153.172887142,35.9732308485,184.28764002,37.5715428204,204.129486886,40.9400002266,195.634500666,42.5723863167,148.441356915,46.4677779029,../training/056.tif,157.0,91.9844970703,1768.49263211,1803.35400666,0.504054209046,0.490678942505,29.1745426829,29.4027777778,0.0811916331541,0.0819406677508
139.316192627,188.066482544,160.853973389,193.064758301,192.981887817,181.859863281,249.050216675,145.797821045,157.07793942,35.4361819788,182.865871996,36.9451504128,206.157565643,39.7400769631,194.765762232,42.3253919415,147.129225405,43.4173034951,../training/057.tif,158.0,90.0728759766,2146.86312246,2099.11514337,0.423397314548,0.43874531004,31.5233104675,31.0155529954,0.0887743298731,0.0897858167756
117.456382751,164.02746582,144.844741821,167.146636963,169.097595215,156.952209473,231.008666992,128.705093384,133.990318203,35.8732348912,166.674537017,38.0685908778,180.337183693,39.967202981,172.665724267,43.2810228871,124.720330273,48.1206849375,../training/060.tif,152.0,90.6790771484,2144.98691565,2177.25326421,0.416703201262,0.407189891531,31.9576981707,31.8351894521,0.0707782637414,0.0699845941325
146.649230957,191.588104248,180.886688232,196.163192749,204.159255981,177.34147644,262.194610596,123.842643738,164.35633422,37.2157644602,198.546506288,42.3247390673,210.258261894,44.6077634225,194.165668204,46.2308166825,138.967773419,49.4947360709,../training/063.tif,142.0,94.1658935547,2047.91463415,1989.40220174,0.406269964118,0.421672242571,31.4369918699,30.7083973374,0.0770325768865,0.0769934428797
143.60017395,201.814254761,175.482177734,203.088638306,202.277023315,190.625289917,231.019470215,137.186004639,164.005012825,38.1626825679,198.955798878,40.873534378,214.705794201,42.7946674544,227.896437953,44.7085515988,140.58398722,48.156027148,../training/064.tif,139.0,94.9841308594,1995.89748476,1829.73540707,0.586938511397,0.62171384664,29.0750762195,27.7475678443,0.0816157498148,0.0828386970676
133.962677002,188.470153809,166.436187744,190.67250061,193.535522461,175.581878662,236.241409302,116.468887329,155.431937118,35.5367387105,188.812163288,38.7930994389,202.357444475,43.1110724303,193.127199572,41.1029853695,132.437410129,43.4692100138,../training/065.tif,156.0,97.7841186523,1889.27572409,1574.26696109,0.43918043665,0.534650185145,28.7719131098,26.0544674859,0.075401840248,0.0760710830732
151.158874512,196.002563477,166.688323975,193.093231201,195.501922607,176.570114136,255.765518188,136.652816772,157.591486545,37.8246920669,187.410562437,39.3479453089,204.947567184,42.4843645878,189.935700574,41.9018466059,146.120075187,46.1272835184,../training/066.tif,151.0,95.5006713867,2682.30481453,2426.06310804,0.336424862322,0.39390849105,36.8870045732,35.287250384,0.0746922053313,0.0740344403514
159.624557495,186.424240112,181.66178894,194.805053711,199.160751343,184.621231079,255.861297607,151.119171143,161.190496507,38.1105401116,193.274026176,40.1655630015,206.483100293,42.6867336283,190.081497671,42.7491360652,144.496423539,47.4139538229,../training/067.tif,156.0,101.787597656,1701.41927083,1832.84018177,0.430637228356,0.37907178085,28.5554496951,29.2760496672,0.076377728424,0.0759628862436
125.538841248,189.380584717,161.913543701,184.097793579,186.55027771,161.251358032,265.397796631,136.652832031,148.005239233,41.9437724353,189.699980054,44.4325219955,201.861090542,44.5404956299,187.359464662,45.2346431114,150.252964003,53.3312529444,../training/068.tif,154.0,99.872833252,1660.08797002,1642.58576549,0.561863853078,0.570776576646,26.1527566057,25.6259600614,0.0711966846919,0.0712170907234
104.446159363,147.339736938,140.456390381,155.724105835,156.894866943,146.98638916,195.869842529,119.331466675,107.154344555,31.1187780849,151.595776873,32.3770037613,166.115027557,35.5057560136,165.929308276,34.1180828082,125.573524821,35.5797830864,../training/071.tif,157.0,80.4883728027,596.059641768,617.072580645,0.846153526059,0.838171669056,9.64399136179,9.70852534562,0.110533750876,0.111535039254
138.852432251,183.708999634,163.71925354,188.265762329,185.539749146,172.200469971,254.89213562,145.344421387,154.287323281,40.5559455754,183.116543214,45.1556641064,193.363827709,49.047436112,187.241623649,46.7611223574,157.058680636,52.2483893677,../training/076.tif,146.0,106.851165771,2555.27470783,2395.87135177,0.396448350957,0.43525574403,35.567390752,34.2482078853,0.0688116970469,0.0686951227324
139.053939819,182.482879639,167.296157837,190.517715454,185.951599121,171.478851318,261.199157715,145.248092651,154.802634044,41.1996350496,182.539711568,45.7878619311,194.90600761,48.9373199942,187.578079422,47.49841668,153.49720844,55.8863997069,../training/077.tif,143.0,104.654266357,1755.00660569,1758.92255504,0.386782677702,0.385984369833,29.340828252,29.0197132616,0.0629461360138,0.0626453640779
142.835586548,181.686538696,169.097610474,189.594314575,186.56098938,169.499252319,267.164764404,144.42300415,156.476122014,41.3565173685,184.812819132,46.6725257582,195.59016872,49.4724130035,186.104885769,47.2771821893,157.887405395,53.921389086,../training/078.tif,140.0,103.85736084,1373.92816311,1388.08563748,0.422309306196,0.419578449447,25.8180259146,25.4846390169,0.0663891233095,0.0651377143337
139.316192627,184.837783813,164.623825073,190.04208374,187.256515503,172.290466309,258.131744385,137.611755371,154.080449362,42.8268255987,184.24476679,46.0601322319,196.545979227,48.9662484507,188.684038873,48.0408679449,151.287271321,53.9954130054,../training/079.tif,147.0,105.254272461,1901.83377795,1744.84312596,0.508766325307,0.548191679435,28.1834984756,26.5387224782,0.0734719654972,0.0738651778439
134.18270874,182.274520874,166.355041504,189.214157104,183.967376709,176.366104126,238.302352905,142.523666382,153.00867517,37.5007441447,185.192634664,41.0486788535,197.373486301,41.9449680507,191.309934527,43.7799326505,149.760983321,48.2504325139,../training/081.tif,131.0,96.4666748047,2210.93146596,2135.87583205,0.479714056592,0.508673806772,30.8199314024,29.8908090118,0.0523485934592,0.0535991794326
131.487625122,185.973129272,166.433166504,193.002593994,183.120193481,179.32371521,261.015319824,145.660583496,162.622336625,31.5156740913,191.739534618,35.1474529988,201.711774194,36.0873752012,202.329711126,39.0587318774,165.656164078,46.5477719321,../training/082.tif,131.0,94.2697753906,2615.60010163,2440.04185868,0.324380928952,0.369666119748,35.5619918699,33.9788786482,0.0491961009839,0.049955514897
139.387954712,176.070999146,167.609680176,185.647521973,187.042770386,170.557922363,253.66317749,140.089233398,149.439633578,37.5321454397,184.376995611,38.4311184479,195.644551038,42.0974631112,187.068342409,44.1540142053,135.686529156,47.3292627819,../training/086.tif,155.0,95.8666687012,1384.67924289,1462.93612391,0.520940362982,0.485348273866,25.0426829268,25.428827445,0.0839942924502,0.0838510945187
135.915405273,170.026473999,168.88458252,175.11138916,188.02394104,159.423950195,262.154541016,137.178726196,148.165975366,34.4368907353,180.132162571,39.5256372589,190.54298474,44.0280347561,179.562725568,45.3033425885,129.194395693,48.2666997972,../training/088.tif,155.0,93.0,1143.17663872,1043.75614439,0.492457409188,0.543666661615,22.3040523374,21.3512544803,0.0833910685911,0.0829900667836
132.378265381,185.779434204,163.957305908,186.783279419,183.17477417,170.698577881,235.766830444,145.34437561,151.325971603,36.8732012841,184.702810825,39.2751776291,195.165330279,42.2743891565,190.505535827,40.2334004944,143.100388678,46.8108821764,../training/090.tif,156.0,93.5906982422,2638.19874238,2387.44770865,0.193735691881,0.26164123256,36.9573805894,35.1658346134,0.0854756132964,0.08536369831
137.306213379,169.35760498,168.576400757,174.613861084,189.095230103,161.54876709,264.486297607,142.126724243,145.759948961,34.7899275023,179.153349769,39.2179749724,190.410127787,43.6328718886,180.895239055,44.3428990768,128.345380504,48.1296390091,../training/091.tif,158.0,93.5408630371,1219.12341209,1151.83979775,0.473895069116,0.510603882916,22.9926956301,22.4134024578,0.0842154354527,0.083524217573
155.621353149,209.239105225,187.360610962,208.693557739,210.641876221,186.324981689,270.016662598,146.778762817,163.811726653,46.8390885073,201.967641879,49.5821478285,219.011337144,52.3937898994,191.615981924,55.5769301112,138.122275919,57.6665094381,../training/092.tif,152.0,117.435668945,1703.78607724,1686.26856119,0.465362160133,0.475665641222,28.2615599593,28.0464669739,0.0682437066868,0.0674221410277
156.208175659,204.364852905,187.459320068,209.021514893,208.240249634,186.903701782,232.215423584,105.801689148,163.876921693,47.102318982,203.088499748,50.1846746122,216.245921691,52.7349293914,193.384567458,55.6650299735,131.184926982,55.2275338767,../training/093.tif,153.0,117.038757324,1501.95102896,1375.15745008,0.458236751083,0.50215551913,24.4197789634,23.1040706605,0.0852283251636,0.0858377378128
156.604598999,204.364852905,185.970413208,206.320114136,208.693557739,185.71484375,256.976654053,173.04624939,161.945478034,45.1081133743,200.624958061,51.1570571944,216.478453123,51.1170582606,201.962329683,49.5617518757,161.199924828,54.9802692378,../training/095.tif,154.0,115.0,1482.21436738,1306.98035074,0.398343831969,0.473403538363,25.3192962398,23.7404633897,0.0880297672317,0.0875293283059
156.984069824,193.829849243,185.431930542,202.06187439,207.002426147,180.623947144,266.332519531,122.588752747,160.648693299,40.9242309317,198.814758989,49.3175991643,211.698696061,54.8033132214,192.134112625,56.8175153148,133.17307355,57.0070409889,../training/096.tif,152.0,117.987121582,1317.43172002,1325.36770353,0.484464899058,0.484178022832,23.5193724593,23.3376216078,0.0832461465135,0.0830620664986
131.365921021,182.098892212,164.124954224,188.409103394,173.807357788,156.894866943,239.365829468,129.618682861,147.481387878,41.0559658875,183.350136568,41.6592919782,190.220553577,46.0662782559,173.288590579,45.3537195389,143.8348453,46.2498650947,../training/097.tif,153.0,96.2759399414,2271.39106961,2129.53213006,0.503200384519,0.538489617165,30.9293064024,29.1089349718,0.0461198252526,0.0467610703422
131.015274048,177.132720947,171.618774414,183.098327637,186.510055542,154.434432983,251.588943481,122.886116028,145.194524901,42.8235845517,186.231494218,42.7484028936,193.542945477,44.9971466533,175.745884364,46.0968115473,134.714869476,51.363509655,../training/099.tif,148.0,99.7720947266,2443.84864075,2484.74788786,0.357149305677,0.353611117752,34.3519435976,34.3409498208,0.0451753567812,0.0448753619474
