approx_shape,compactness,eccentricity,is_convex,num_lines,radius_equiv,radius_max,radius_min,solidity,line_diff,rad_max_div_equiv,rad_min_div_equiv,rad_min_div_max,img
5,16.319543822,0.532777507547,1,8,31.7102653798,41.3946477275,25.6852941265,0.965464547677,-3,1.30540212237,0.809999343082,0.620497951707,02_01
3,26.7131025625,0.870134605434,0,8,28.439856202,58.9445567187,12.633495086,0.835855263158,-5,2.07260389433,0.444217966373,0.214328443359,02_02
8,33.8373214772,0.717653399977,0,53,25.6628750243,46.2232831714,17.1925053623,0.605856515373,-45,1.80117321725,0.669936838567,0.371944703681,02_03
5,15.5616889065,0.270829810579,1,25,33.7477817459,39.2582566304,30.3471618598,0.972282608696,-20,1.16328406193,0.899234269333,0.773013487214,02_04
12,20.3954690667,0.342364882389,0,20,31.73033517,36.5678310726,24.4511709919,0.880567928731,-8,1.15245650185,0.770592899851,0.668652481558,02_05
4,20.9644347122,0.839340767674,1,13,30.4348775058,50.4338457846,23.9296136382,0.94942903752,-9,1.65710690884,0.786256282243,0.474475290669,02_06
10,31.3450369273,0.840042132849,0,21,28.2038367172,47.6015494128,20.0980973454,0.806129032258,-11,1.68776857879,0.712601535276,0.422215192432,02_07
4,26.4988981861,0.734276664685,0,6,29.2672496781,53.1553412061,19.2647689937,0.863053239256,-2,1.81620554684,0.658236397528,0.362423955082,02_08
3,22.6651767938,0.658929196329,1,4,28.0737471348,47.0770276338,18.9166867633,0.949022614028,-1,1.67690573715,0.673821227799,0.401824153183,02_09
3,25.2103180765,0.900965418882,1,8,27.6222518485,57.4105010938,14.2018000986,0.94743083004,-5,2.07841494635,0.51414345856,0.247372864337,02_10
4,20.6450985121,0.865756731821,1,6,32.6840630588,53.5469173801,21.2282984833,0.957489300999,-2,1.63831887375,0.649499985517,0.396442961089,02_11
7,17.0528747258,0.635993133199,0,86,35.5797472919,46.6841807816,25.3807537778,0.9250988602,-79,1.31209984148,0.713348343077,0.543669254828,02_12
8,17.0777564167,0.87928071587,1,93,31.5946166787,46.2840947871,21.0780548093,0.978165938865,-85,1.46493610788,0.667140703863,0.455406007318,02_13
6,15.9866120325,0.195682724876,1,21,36.6202068603,41.6444105721,33.8639066174,0.956630336058,-15,1.13719757867,0.924732805212,0.81316810953,02_14
4,20.4273616871,0.792956295034,1,4,33.253699713,56.5788185681,21.1107863717,0.941463414634,0,1.70142928626,0.634840229926,0.373121724808,02_15
8,13.9984841078,0.262345787724,1,47,36.3103228927,39.6369795094,34.1298730221,0.97138836773,-39,1.09161737907,0.939949587421,0.86106139884,02_16
6,32.6080737479,0.262891837504,0,57,24.233896509,43.9884137964,13.7133668032,0.654255319149,-51,1.81516058633,0.565875438073,0.311749518105,02_17
8,16.1479669221,0.612107781246,1,98,39.3519706785,52.7853477396,32.2521353249,0.948158253752,-90,1.3413647863,0.819581199334,0.61100545333,02_18
5,22.2974771645,0.712693245626,0,11,33.5253964647,56.4050460556,17.8334095159,0.837126600284,-6,1.68245724148,0.531937319062,0.316166917022,02_19
10,16.1264957977,0.211916252866,1,222,36.0154520477,44.733737909,33.849008929,0.959726801696,-212,1.24207070481,0.939846843631,0.756677409739,02_20
3,23.2917475086,0.806878672257,1,3,30.4923462125,53.2027907752,17.7250426794,0.95801902263,0,1.74479164065,0.581294812669,0.333160017006,02_21
