approx_shape,compactness,eccentricity,is_convex,num_lines,radius_equiv,radius_max,radius_min,solidity,line_diff,rad_max_div_equiv,rad_min_div_equiv,rad_min_div_max,img
3,20.8280401281,0.346246972101,1,9,22.1403980254,33.6089603123,15.8248491189,0.952380952381,-6,1.51799259768,0.714749983302,0.470852087417,09_01
5,17.2907840061,0.191209656745,1,9,30.1300480484,39.4389610202,24.8926098478,0.957368244377,-4,1.30895778715,0.826172258599,0.631167992358,09_02
4,19.27247245,0.84050783035,1,12,25.7557333968,42.5232004331,19.1403524865,0.947703501592,-8,1.65101881503,0.743149192903,0.450115520269,09_03
3,22.4806052745,0.776493822978,1,4,24.1549585256,40.5308919904,14.6557445647,0.958180867747,-1,1.67795328431,0.606738552216,0.361594424523,09_04
10,36.2479034101,0.509093827254,0,17,22.3905799554,35.076987856,14.3354648769,0.602524866106,-7,1.56659577045,0.640245357891,0.408685743935,09_05
5,15.8759434648,0.523646039156,1,21,29.1582870896,35.6895338387,24.3204542599,0.969509981851,-16,1.22399281306,0.834083778145,0.681444996447,09_06
6,21.4930459494,0.477851070203,0,9,28.6850319119,42.5930455483,19.2165312322,0.831992275507,-3,1.48485264647,0.669914933031,0.451165935304,09_07
6,15.3206769982,0.445886423788,1,18,31.7554045704,37.6681549063,27.7093226318,0.964090079124,-12,1.18619666214,0.872586037139,0.735616668794,09_08
12,21.6225261321,0.539155441519,0,18,28.8675472119,35.3786968475,20.8238587221,0.866887417219,-6,1.22555257597,0.721358782903,0.588598805996,09_09
4,21.870937083,0.938074302703,1,13,26.9455905555,44.3307134021,13.1362187739,0.954393305439,-9,1.64519361009,0.487509032206,0.296323198203,09_10
8,31.3276904264,0.67694900015,0,38,24.2273281672,41.3142061838,15.4654211328,0.633894809213,-30,1.70527290086,0.638346128226,0.374336640138,09_11
8,14.9318751968,0.527655069295,1,87,32.5082885143,36.913037165,28.5125425704,0.961204400695,-79,1.13549617196,0.877085318037,0.772424724711,09_12
3,24.8452512092,0.904256035735,1,4,26.0200908514,55.1006227807,13.7367664705,0.953384132676,-1,2.11761838556,0.5279292278,0.249303288733,09_13
4,20.0193828265,0.872209968329,1,12,31.0099043236,49.8643344669,19.0707236521,0.966101694915,-8,1.60801316723,0.614988148724,0.382452184632,09_14
4,21.4391732208,0.854292654963,1,3,32.1934308426,57.5651583146,18.9343046887,0.948717948718,1,1.78810262864,0.588141872213,0.328919527768,09_15
4,24.42071091,0.709881469144,0,2,29.7954069039,53.0212775588,19.4809358086,0.874020683171,2,1.77951177944,0.653823452437,0.367417321981,09_16
5,16.0909845943,0.59163259027,1,11,34.4756307413,45.5564543622,27.1125540592,0.971383975026,-6,1.32141032325,0.786426628788,0.5951418836,09_17
11,35.4856516083,0.748250237042,0,17,29.0981837448,47.0904307742,19.8988141817,0.730367929709,-6,1.61832886847,0.683850729524,0.422565983249,09_18
4,17.952433856,0.326838368189,1,15,38.3690399098,48.8795007562,32.8471640903,0.975326866301,-11,1.27393077521,0.856085118822,0.672002855637,09_19
5,32.9400854014,0.360953771389,0,33,25.199766327,46.9091428025,15.0690144756,0.656898254857,-28,1.86149118185,0.597982309838,0.32123832531,09_20
5,22.3290684985,0.759944426189,0,16,35.0842461779,60.0072463634,17.1872346765,0.836108108108,-11,1.71037582108,0.48988467899,0.286419319633,09_21
