approx_shape,compactness,eccentricity,is_convex,num_lines,radius_equiv,radius_max,radius_min,solidity,line_diff,rad_max_div_equiv,rad_min_div_equiv,rad_min_div_max,img
5,17.3616914134,0.502141316521,1,6,40.8326729939,56.2122484128,34.3589156506,0.950980392157,-1,1.37664875432,0.841456439937,0.611235391231,07_01
4,20.4299334538,0.851613250922,1,7,34.434057647,57.035129383,26.1599226719,0.952441830734,-3,1.65635807338,0.759710718386,0.458663335297,07_02
4,21.8570328138,0.805181840025,1,3,32.601176512,55.3874132607,19.091605934,0.955911823647,1,1.6989390932,0.585610949559,0.344692138701,07_03
5,21.4281224268,0.759996251597,0,18,35.8826349313,59.301471662,18.5736569934,0.851758264898,-13,1.65265097659,0.517622438513,0.313207353424,07_04
12,19.743071561,0.311853924082,0,17,35.5081041338,40.974621936,27.6198254917,0.890913180387,-5,1.15395127213,0.77784568243,0.674071515165,07_05
5,16.401019301,0.389208858935,1,20,38.485008775,45.9140157771,33.4222496184,0.958393408857,-15,1.19303638582,0.868448538333,0.727931309269,07_06
10,38.2569050158,0.340678711649,0,5,32.2230794421,48.678664807,21.0369275692,0.581669044223,5,1.51067699456,0.652852797852,0.432159091721,07_07
3,24.2992550072,0.903863331303,1,2,31.8954290807,66.3264653347,17.0141038099,0.962940644773,1,2.0794975094,0.53343392142,0.256520586828,07_08
6,16.4066144929,0.288627730198,1,13,40.4960804723,46.2663599338,37.4304735108,0.950553505535,-7,1.14248982603,0.924298674692,0.809021361618,07_09
4,21.3325455392,0.913869266602,1,2,35.1114538177,52.5917155741,19.0709286833,0.954411039921,2,1.49785069702,0.543154059708,0.362622296594,07_10
3,22.1750751953,0.675099832464,1,5,33.1626394722,56.2695501245,22.1911192458,0.96025569761,-2,1.69677537795,0.669160223642,0.394371719637,07_11
4,23.406546263,0.826148825432,1,3,37.1894669963,64.5190088597,22.1837777577,0.879198704978,1,1.73487317971,0.596507009899,0.34383320745,07_12
8,33.5553760966,0.780363123015,0,22,31.6851602651,56.7010662755,21.0139944275,0.622459048747,-14,1.78951489597,0.663212502374,0.370610216136,07_13
4,20.8585033888,0.856397872536,1,19,38.2610397998,61.7186199572,25.1358597589,0.948442977934,-15,1.61309311718,0.656957047963,0.407265421299,07_14
4,24.1141157309,0.731421146876,0,2,35.0115891055,60.7801699953,22.3056837698,0.897668997669,2,1.73600146546,0.637094297622,0.36698949298,07_15
8,16.1835819378,0.274157133773,1,73,42.0803742479,46.0387408815,39.4717063102,0.951265389877,-65,1.09406681153,0.938007491989,0.85735851056,07_16
5,17.7117692791,0.596709225791,1,11,39.4085515427,53.026641921,31.3489996824,0.960811343048,-6,1.34556180944,0.795487234502,0.591193380284,07_17
7,33.4558572838,0.3686185414,0,15,28.2207607132,51.6743573436,16.5683490454,0.653434317054,-8,1.83107598937,0.587097889166,0.320629997103,07_18
